,range,var_name,length
,"(18623, 18987)","sorghum_CONDITION, MEASURED IN PCT GOOD_day",365
,"(18988, 19352)","sorghum_CONDITION, MEASURED IN PCT POOR_day",365
,"(19353, 19717)","sorghum_CONDITION, MEASURED IN PCT VERY POOR_day",365
,"(19718, 20082)","sorghum_PROGRESS, MEASURED IN PCT PLANTED_day",365
,"(20083, 20447)","sorghum_PROGRESS, MEASURED IN PCT HEADED_day",365
,"(20448, 20812)","sorghum_PROGRESS, MEASURED IN PCT EMERGED_day",365
,"(20813, 21177)","sorghum_PROGRESS, MEASURED IN PCT COLORING_day",365
,"(21178, 21542)","sorghum_PROGRESS, MEASURED IN PCT MATURE_day",365
,"(21543, 21907)","sorghum_ GRAIN - PROGRESS, MEASURED IN PCT HARVESTED_day",365
,"(21908, 22272)","sorghum_ SILAGE - PROGRESS, MEASURED IN PCT HARVESTED_day",365
,"(22273, 22637)","sorghum_PROGRESS, MEASURED IN PCT SEEDBED PREPARED_day",365
soybean progress,"(22638, 23002)","soybean_CONDITION, MEASURED IN PCT EXCELLENT_day",365
,"(23003, 23367)","soybean_CONDITION, MEASURED IN PCT FAIR_day",365
,"(23368, 23732)","soybean_CONDITION, MEASURED IN PCT GOOD_day",365
,"(23733, 24097)","soybean_CONDITION, MEASURED IN PCT POOR_day",365
,"(24098, 24462)","soybean_CONDITION, MEASURED IN PCT VERY POOR_day",365
,"(24463, 24827)","soybean_PROGRESS, MEASURED IN PCT PLANTED_day",365
,"(24828, 25192)","soybean_PROGRESS, MEASURED IN PCT EMERGED_day",365
,"(25193, 25557)","soybean_PROGRESS, MEASURED IN PCT BLOOMING_day",365
,"(25558, 25922)","soybean_PROGRESS, MEASURED IN PCT SETTING PODS_day",365
,"(25923, 26287)","soybean_PROGRESS, MEASURED IN PCT COLORING_day",365
,"(26288, 26652)","soybean_PROGRESS, MEASURED IN PCT DROPPING LEAVES_day",365
,"(26653, 27017)","soybean_PROGRESS, MEASURED IN PCT MATURE_day",365
,"(27018, 27382)","soybean_PROGRESS, MEASURED IN PCT HARVESTED_day",365
,"(27383, 27747)","soybean_PROGRESS, MEASURED IN PCT FULLY PODDED_day",365
,"(27748, 28112)","soybean_PROGRESS, MEASURED IN PCT SEEDBED PREPARED_day",365
wheat progress,"(28113, 28477)","wheat_SPRING, DURUM - CONDITION, MEASURED IN PCT EXCELLENT_day",365
,"(28478, 28842)","wheat_SPRING, DURUM - CONDITION, MEASURED IN PCT FAIR_day",365
,"(28843, 29207)","wheat_SPRING, DURUM - CONDITION, MEASURED IN PCT GOOD_day",365
,"(29208, 29572)","wheat_SPRING, DURUM - CONDITION, MEASURED IN PCT POOR_day",365
,"(29573, 29937)","wheat_SPRING, DURUM - CONDITION, MEASURED IN PCT VERY POOR_day",365
,"(29938, 30302)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT EMERGED_day",365
,"(30303, 30667)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT PLANTED_day",365
,"(30668, 31032)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT HEADED_day",365
,"(31033, 31397)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT MATURE_day",365
,"(31398, 31762)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT HARVESTED_day",365
,"(31763, 32127)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT JOINTING_day",365
,"(32128, 32492)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT BOOTED_day",365
,"(32493, 32857)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT COLORING_day",365
,"(32858, 33222)","wheat_SPRING, (EXCL DURUM) - CONDITION, MEASURED IN PCT EXCELLENT_day",365
,"(33223, 33587)","wheat_SPRING, (EXCL DURUM) - CONDITION, MEASURED IN PCT FAIR_day",365
,"(33588, 33952)","wheat_SPRING, (EXCL DURUM) - CONDITION, MEASURED IN PCT GOOD_day",365
,"(33953, 34317)","wheat_SPRING, (EXCL DURUM) - CONDITION, MEASURED IN PCT POOR_day",365
,"(34318, 34682)","wheat_SPRING, (EXCL DURUM) - CONDITION, MEASURED IN PCT VERY POOR_day",365
,"(34683, 35047)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT PLANTED_day",365
,"(35048, 35412)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT EMERGED_day",365
,"(35413, 35777)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT JOINTING_day",365
,"(35778, 36142)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT HEADED_day",365
,"(36143, 36507)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT BOOTED_day",365
,"(36508, 36872)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT COLORING_day",365
,"(36873, 37237)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT MATURE_day",365
,"(37238, 37602)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT HARVESTED_day",365
,"(37603, 37967)","wheat_WINTER - CONDITION, MEASURED IN PCT EXCELLENT_day",365
,"(37968, 38332)","wheat_WINTER - CONDITION, MEASURED IN PCT FAIR_day",365
,"(38333, 38697)","wheat_WINTER - CONDITION, MEASURED IN PCT GOOD_day",365
,"(38698, 39062)","wheat_WINTER - CONDITION, MEASURED IN PCT POOR_day",365
,"(39063, 39427)","wheat_WINTER - CONDITION, MEASURED IN PCT VERY POOR_day",365
,"(39428, 39792)","wheat_WINTER - PROGRESS, MEASURED IN PCT PASTURED_day",365
,"(39793, 40157)","wheat_WINTER - PROGRESS, MEASURED IN PCT EMERGED_day",365
,"(40158, 40522)","wheat_WINTER - PROGRESS, MEASURED IN PCT HEADED_day",365
,"(40523, 40887)","wheat_WINTER - PROGRESS, MEASURED IN PCT JOINTING_day",365
,"(40888, 41252)","wheat_WINTER - PROGRESS, MEASURED IN PCT BREAKING DORMANCY_day",365
,"(41253, 41617)","wheat_WINTER - PROGRESS, MEASURED IN PCT COLORING_day",365
,"(41618, 41982)","wheat_WINTER - PROGRESS, MEASURED IN PCT HARVESTED_day",365
,"(41983, 42347)","wheat_WINTER - PROGRESS, MEASURED IN PCT BOOTED_day",365
,"(42348, 42712)","wheat_WINTER - PROGRESS, MEASURED IN PCT MATURE_day",365
,"(42713, 43077)","wheat_WINTER - PROGRESS, MEASURED IN PCT PLANTED_day",365
,"(43078, 43442)","wheat_WINTER - PROGRESS, MEASURED IN PCT SEEDBED PREPARED_day",365
gSSURGO,"(43443, 43448)",AWC_DCP,6
,"(43449, 43454)",DB3RDBAR_D,6
,"(43455, 43460)",EC_DCP,6
,"(43461, 43466)",ORGMATTER,6
,"(43467, 43472)",SILT,6
,"(43473, 43478)",CLAY,6
,"(43479, 43484)",SAND,6
,"(43485, 43490)",Cl,6
,"(43491, 43496)",SiCl,6
,"(43497, 43502)",SaCl,6
,"(43503, 43508)",ClLo,6
,"(43509, 43514)",SiClLo,6
,"(43515, 43520)",SaClLo,6
,"(43521, 43526)",Lo,6
,"(43527, 43532)",SiLo,6
,"(43533, 43538)",SaLo,6
,"(43539, 43544)",Si,6
,"(43545, 43550)",LoSa,6
,"(43551, 43556)",Sa,6
,"(43557, 43562)",PHWATER_DC,6
,"(43563, 43563)",CROPPRODIN,1
,"(43564, 43564)",DEP2RESLYR,1
,"(43565, 43565)",NCCPI_WTA,1
,"(43566, 43566)",NCCPI_CORN,1
,"(43567, 43567)",NCCPI_COT,1
,"(43568, 43568)",NCCPI_SOY,1
