,range,var_name,length
,"(2868, 2919)","sorghum_PROGRESS, MEASURED IN PCT HEADED_week",52
,"(2920, 2971)","sorghum_PROGRESS, MEASURED IN PCT EMERGED_week",52
,"(2972, 3023)","sorghum_PROGRESS, MEASURED IN PCT COLORING_week",52
,"(3024, 3075)","sorghum_PROGRESS, MEASURED IN PCT MATURE_week",52
,"(3076, 3127)","sorghum_ GRAIN - PROGRESS, MEASURED IN PCT HARVESTED_week",52
,"(3128, 3179)","sorghum_ SILAGE - PROGRESS, MEASURED IN PCT HARVESTED_week",52
,"(3180, 3231)","sorghum_PROGRESS, MEASURED IN PCT SEEDBED PREPARED_week",52
soybean progress (USDA),"(3232, 3283)","soybean_CONDITION, MEASURED IN PCT EXCELLENT_week",52
,"(3284, 3335)","soybean_CONDITION, MEASURED IN PCT FAIR_week",52
,"(3336, 3387)","soybean_CONDITION, MEASURED IN PCT GOOD_week",52
,"(3388, 3439)","soybean_CONDITION, MEASURED IN PCT POOR_week",52
,"(3440, 3491)","soybean_CONDITION, MEASURED IN PCT VERY POOR_week",52
,"(3492, 3543)","soybean_PROGRESS, MEASURED IN PCT PLANTED_week",52
,"(3544, 3595)","soybean_PROGRESS, MEASURED IN PCT EMERGED_week",52
,"(3596, 3647)","soybean_PROGRESS, MEASURED IN PCT BLOOMING_week",52
,"(3648, 3699)","soybean_PROGRESS, MEASURED IN PCT SETTING PODS_week",52
,"(3700, 3751)","soybean_PROGRESS, MEASURED IN PCT COLORING_week",52
,"(3752, 3803)","soybean_PROGRESS, MEASURED IN PCT DROPPING LEAVES_week",52
,"(3804, 3855)","soybean_PROGRESS, MEASURED IN PCT MATURE_week",52
,"(3856, 3907)","soybean_PROGRESS, MEASURED IN PCT HARVESTED_week",52
,"(3908, 3959)","soybean_PROGRESS, MEASURED IN PCT FULLY PODDED_week",52
,"(3960, 4011)","soybean_PROGRESS, MEASURED IN PCT SEEDBED PREPARED_week",52
wheat progress (USDA),"(4012, 4063)","wheat_SPRING, DURUM - CONDITION, MEASURED IN PCT EXCELLENT_week",52
,"(4064, 4115)","wheat_SPRING, DURUM - CONDITION, MEASURED IN PCT FAIR_week",52
,"(4116, 4167)","wheat_SPRING, DURUM - CONDITION, MEASURED IN PCT GOOD_week",52
,"(4168, 4219)","wheat_SPRING, DURUM - CONDITION, MEASURED IN PCT POOR_week",52
,"(4220, 4271)","wheat_SPRING, DURUM - CONDITION, MEASURED IN PCT VERY POOR_week",52
,"(4272, 4323)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT EMERGED_week",52
,"(4324, 4375)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT PLANTED_week",52
,"(4376, 4427)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT HEADED_week",52
,"(4428, 4479)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT MATURE_week",52
,"(4480, 4531)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT HARVESTED_week",52
,"(4532, 4583)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT JOINTING_week",52
,"(4584, 4635)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT BOOTED_week",52
,"(4636, 4687)","wheat_SPRING, DURUM - PROGRESS, MEASURED IN PCT COLORING_week",52
,"(4688, 4739)","wheat_SPRING, (EXCL DURUM) - CONDITION, MEASURED IN PCT EXCELLENT_week",52
,"(4740, 4791)","wheat_SPRING, (EXCL DURUM) - CONDITION, MEASURED IN PCT FAIR_week",52
,"(4792, 4843)","wheat_SPRING, (EXCL DURUM) - CONDITION, MEASURED IN PCT GOOD_week",52
,"(4844, 4895)","wheat_SPRING, (EXCL DURUM) - CONDITION, MEASURED IN PCT POOR_week",52
,"(4896, 4947)","wheat_SPRING, (EXCL DURUM) - CONDITION, MEASURED IN PCT VERY POOR_week",52
,"(4948, 4999)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT PLANTED_week",52
,"(5000, 5051)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT EMERGED_week",52
,"(5052, 5103)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT JOINTING_week",52
,"(5104, 5155)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT HEADED_week",52
,"(5156, 5207)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT BOOTED_week",52
,"(5208, 5259)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT COLORING_week",52
,"(5260, 5311)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT MATURE_week",52
,"(5312, 5363)","wheat_SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT HARVESTED_week",52
,"(5364, 5415)","wheat_WINTER - CONDITION, MEASURED IN PCT EXCELLENT_week",52
,"(5416, 5467)","wheat_WINTER - CONDITION, MEASURED IN PCT FAIR_week",52
,"(5468, 5519)","wheat_WINTER - CONDITION, MEASURED IN PCT GOOD_week",52
,"(5520, 5571)","wheat_WINTER - CONDITION, MEASURED IN PCT POOR_week",52
,"(5572, 5623)","wheat_WINTER - CONDITION, MEASURED IN PCT VERY POOR_week",52
,"(5624, 5675)","wheat_WINTER - PROGRESS, MEASURED IN PCT PASTURED_week",52
,"(5676, 5727)","wheat_WINTER - PROGRESS, MEASURED IN PCT EMERGED_week",52
,"(5728, 5779)","wheat_WINTER - PROGRESS, MEASURED IN PCT HEADED_week",52
,"(5780, 5831)","wheat_WINTER - PROGRESS, MEASURED IN PCT JOINTING_week",52
,"(5832, 5883)","wheat_WINTER - PROGRESS, MEASURED IN PCT BREAKING DORMANCY_week",52
,"(5884, 5935)","wheat_WINTER - PROGRESS, MEASURED IN PCT COLORING_week",52
,"(5936, 5987)","wheat_WINTER - PROGRESS, MEASURED IN PCT HARVESTED_week",52
,"(5988, 6039)","wheat_WINTER - PROGRESS, MEASURED IN PCT BOOTED_week",52
,"(6040, 6091)","wheat_WINTER - PROGRESS, MEASURED IN PCT MATURE_week",52
,"(6092, 6143)","wheat_WINTER - PROGRESS, MEASURED IN PCT PLANTED_week",52
,"(6144, 6195)","wheat_WINTER - PROGRESS, MEASURED IN PCT SEEDBED PREPARED_week",52
Soil quality (gSSURGO),"(6196, 6201)",AWC_DCP,6
,"(6202, 6207)",DB3RDBAR_D,6
,"(6208, 6213)",EC_DCP,6
,"(6214, 6219)",ORGMATTER,6
,"(6220, 6225)",SILT,6
,"(6226, 6231)",CLAY,6
,"(6232, 6237)",SAND,6
,"(6238, 6243)",Cl,6
,"(6244, 6249)",SiCl,6
,"(6250, 6255)",SaCl,6
,"(6256, 6261)",ClLo,6
,"(6262, 6267)",SiClLo,6
,"(6268, 6273)",SaClLo,6
,"(6274, 6279)",Lo,6
,"(6280, 6285)",SiLo,6
,"(6286, 6291)",SaLo,6
,"(6292, 6297)",Si,6
,"(6298, 6303)",LoSa,6
,"(6304, 6309)",Sa,6
,"(6310, 6315)",PHWATER_DC,6
Extra variables (gSSURGO),"(6316, 6316)",CROPPRODIN,1
,"(6317, 6317)",DEP2RESLYR,1
,"(6318, 6318)",NCCPI_WTA,1
,"(6319, 6319)",NCCPI_CORN,1
,"(6320, 6320)",NCCPI_COT,1
,"(6321, 6321)",NCCPI_SOY,1
